iter	Passed	Remaining
0	0	367
1	0	346
2	1	339
3	1	351
4	2	337
5	2	329
6	3	323
7	3	319
8	3	320
9	4	316
10	4	321
11	5	326
12	5	323
13	6	319
14	6	315
15	6	316
16	7	313
17	7	314
18	8	311
19	8	310
20	8	308
21	9	306
22	9	304
23	10	303
24	10	314
25	11	325
26	12	336
27	12	334
28	13	332
29	13	330
30	14	327
31	14	325
32	14	323
33	15	321
34	15	318
35	15	317
36	16	315
37	16	313
38	17	312
39	17	311
40	17	310
41	18	310
42	18	309
43	19	308
44	19	306
45	19	305
46	20	304
47	20	302
48	21	301
49	21	300
50	21	299
51	22	298
52	22	297
53	22	296
54	23	295
55	23	294
56	24	294
57	24	294
58	25	294
59	25	293
60	25	292
61	26	291
62	26	290
63	27	290
64	27	289
65	27	288
66	28	287
67	28	286
68	28	285
69	29	285
70	29	284
71	30	284
72	30	283
73	30	282
74	31	282
75	31	281
76	32	281
77	32	281
78	32	280
79	33	279
80	33	278
81	34	277
82	34	276
83	34	276
84	35	275
85	35	274
86	36	274
87	36	274
88	36	274
89	37	274
90	37	273
91	38	273
92	38	272
93	38	271
94	39	270
95	39	270
96	40	270
97	40	269
98	40	268
99	41	267
100	41	267
101	41	266
102	42	265
103	42	264
104	42	263
105	43	262
106	43	261
107	43	260
108	44	259
109	44	259
110	45	259
111	45	259
112	45	258
113	46	258
114	46	257
115	47	256
116	47	256
117	47	255
118	48	256
119	48	255
120	49	255
121	49	254
122	49	253
123	50	253
124	50	253
125	51	252
126	51	252
127	51	251
128	52	251
129	52	251
130	53	250
131	53	250
132	53	249
133	54	248
134	54	248
135	54	247
136	55	247
137	55	246
138	56	246
139	56	245
140	56	245
141	57	245
142	57	244
143	58	244
144	58	244
145	58	243
146	59	243
147	59	243
148	60	243
149	60	242
150	61	242
151	61	241
152	61	240
153	62	240
154	62	239
155	62	238
156	63	238
157	63	237
158	63	236
159	64	236
160	64	235
161	64	235
162	65	234
163	65	233
164	65	233
165	66	232
166	66	232
167	66	231
168	67	230
169	67	230
170	67	229
171	68	229
172	68	228
173	68	227
174	69	227
175	69	226
176	69	226
177	70	225
178	70	225
179	70	224
180	71	224
181	71	223
182	72	223
183	72	222
184	72	222
185	73	222
186	73	221
187	73	221
188	74	220
189	74	220
190	75	220
191	75	219
192	75	219
193	76	218
194	76	218
195	77	217
196	77	217
197	77	217
198	78	216
199	78	216
200	79	216
201	79	215
202	79	215
203	80	214
204	80	214
205	80	213
206	81	213
207	81	212
208	82	212
209	82	212
210	82	211
211	83	211
212	83	210
213	83	210
214	84	209
215	84	209
216	86	212
217	86	211
218	87	211
219	87	211
220	88	210
221	88	210
222	88	209
223	89	209
224	89	209
225	90	208
226	90	208
227	90	207
228	91	207
229	91	206
230	91	206
231	92	206
232	92	205
233	93	205
234	93	204
235	93	204
236	94	203
237	94	203
238	95	203
239	95	202
240	95	202
241	96	201
242	96	201
243	97	202
244	98	202
245	98	202
246	99	202
247	99	202
248	100	201
249	100	201
250	101	201
251	101	200
252	102	200
253	102	200
254	102	199
255	103	199
256	103	199
257	104	198
258	104	198
259	104	197
260	105	197
261	105	196
262	106	196
263	106	196
264	106	195
265	107	195
266	107	194
267	107	194
268	108	194
269	109	194
270	109	193
271	109	193
272	110	192
273	110	192
274	111	192
275	111	192
276	112	191
277	112	191
278	113	190
279	113	190
280	113	189
281	114	189
282	114	189
283	115	188
284	115	188
285	115	188
286	116	187
287	116	187
288	117	186
289	117	186
290	118	186
291	118	185
292	118	185
293	119	184
294	119	184
295	120	184
296	120	183
297	120	183
298	121	182
299	121	182
300	121	181
301	122	181
302	122	181
303	123	180
304	123	180
305	123	179
306	124	179
307	124	179
308	125	178
309	125	178
310	125	177
311	126	177
312	126	177
313	127	176
314	127	176
315	127	175
316	128	175
317	128	174
318	129	174
319	129	174
320	129	173
321	130	173
322	130	172
323	131	172
324	131	171
325	131	171
326	132	171
327	132	170
328	132	170
329	133	169
330	134	169
331	134	169
332	134	168
333	135	168
334	135	167
335	135	167
336	136	167
337	136	166
338	137	166
339	137	165
340	137	165
341	138	165
342	138	164
343	139	164
344	139	163
345	139	163
346	140	162
347	140	162
348	141	162
349	141	161
350	141	161
351	142	160
352	142	160
353	142	159
354	143	159
355	143	159
356	144	158
357	144	158
358	145	158
359	145	157
360	145	157
361	146	156
362	146	156
363	147	155
364	147	155
365	147	155
366	148	154
367	148	154
368	148	153
369	149	153
370	149	152
371	150	152
372	150	152
373	150	151
374	151	151
375	151	150
376	152	150
377	152	150
378	152	149
379	153	149
380	153	148
381	154	148
382	154	147
383	154	147
384	155	147
385	155	146
386	156	146
387	156	145
388	156	145
389	157	145
390	157	144
391	158	144
392	158	143
393	158	143
394	159	143
395	159	142
396	160	142
397	160	142
398	161	141
399	161	141
400	161	140
401	162	140
402	162	140
403	163	139
404	163	139
405	164	138
406	164	138
407	165	138
408	165	137
409	165	137
410	166	137
411	166	136
412	166	136
413	167	135
414	167	135
415	168	134
416	168	134
417	168	134
418	169	133
419	169	133
420	169	132
421	170	132
422	170	132
423	171	131
424	171	131
425	172	130
426	172	130
427	172	130
428	173	129
429	173	129
430	173	128
431	174	128
432	174	127
433	175	127
434	175	127
435	175	126
436	176	126
437	176	125
438	177	125
439	177	125
440	178	124
441	178	124
442	178	123
443	179	123
444	179	123
445	180	122
446	180	122
447	180	121
448	181	121
449	181	121
450	181	120
451	182	120
452	183	120
453	183	119
454	183	119
455	184	118
456	184	118
457	185	118
458	185	117
459	185	117
460	186	116
461	186	116
462	187	115
463	187	115
464	187	115
465	188	114
466	188	114
467	188	113
